0.8 . edges:  2, nodes: 3 
0.81 . edges:  0, nodes: 0 
0.82 . edges:  0, nodes: 0 
0.83 . edges:  0, nodes: 0 
0.84 . edges:  0, nodes: 0 
0.85 . edges:  0, nodes: 0 
0.86 . edges:  0, nodes: 0 
0.87 . edges:  0, nodes: 0 
0.88 . edges:  0, nodes: 0 
0.89 . edges:  0, nodes: 0 
0.9 . edges:  0, nodes: 0 
0.91 . edges:  0, nodes: 0 
0.92 . edges:  0, nodes: 0 
0.93 . edges:  0, nodes: 0 
0.94 . edges:  0, nodes: 0 
0.95 . edges:  0, nodes: 0 
0.96 . edges:  0, nodes: 0 
0.97 . edges:  0, nodes: 0 
0.98 . edges:  0, nodes: 0 
0.99 . edges:  0, nodes: 0 
1 . edges:  0, nodes: 0 
