XLOC	Gene	25_1	25_2	25_3	20_1	20_2	20_3	15_1	15_2	15_3	10_1	10_2	10_3	5_1	5_2	5_3	1_1	1_2	1_3	12_1	12_2	12_3	24_1	24_2	24_3
XLOC_028154	Xvis02_25080	2.02279	2.52173	2.37034	2.86673	2.10389	3.81769	3.02943	1.81721	2.02509	1.87078	0.39796	0.929056	1.45951	0.913071	1.03704	0.93935	0.766343	0.80999	8.75377	6.82831	5.13204	9.63383	3.30106	2.87315
XLOC_028146	Xvis02_25073	36.9153	4.54641	18.2749	10.5529	23.8322	17.1239	11.1075	3.84734	6.6087	1.80822	0.256867	0.28145	0	0.185846	0.17932	0.566635	0	0.313661	0.271893	0.354906	0.714786	0.17812	0.545001	0.750786
XLOC_028147	Xvis02_25072	23.6531	6.11143	16.0813	10.1085	22.4823	12.0559	34.6854	7.97712	24.3236	18.1697	10.2157	7.17866	146.295	57.4548	112.988	47.3692	84.0179	91.7009	204.721	124.979	70.8675	75.5516	187.539	101.267
XLOC_028139	Xvis02_25069	18.9963	22.0018	20.2236	15.4148	12.54	13.4681	11.7652	2.43451	16.2557	7.99693	0.654095	0.922028	0.319337	0.178427	0.223482	0	0.0455068	0.139679	0.480176	0.629525	0.694097	0.49452	0	0.268988
XLOC_028133	Xvis02_25064	4.23394	3.82485	3.03141	6.54381	5.37552	4.80628	5.0759	4.3555	5.65334	5.65369	8.39874	7.01565	6.19315	5.28049	7.18157	11.9335	14.0286	10.6852	6.82864	9.45017	6.08189	8.8517	11.552	13.4458
XLOC_028117	Xvis02_25050	1.92864	1.7511	2.56651	1.42145	2.23233	2.79807	1.08872	3.27385	2.4191	1.66807	5.27091	6.69127	2.29024	2.49201	1.84909	2.78744	2.01556	2.2433	1.81423	1.68087	2.25461	2.14737	1.24844	2.11099
XLOC_028108	Xvis02_25042	26.2403	13.9696	27.2513	11.9304	22.43	27.1305	10.7575	12.5514	8.61371	31.6656	42.2441	92.965	71.826	58.3284	36.3207	55.2948	22.8326	32.647	53.0072	24.8608	24.7719	23.8068	32.5762	34.0788
XLOC_028096	Xvis02_25032	13.5813	9.28982	9.33397	7.97762	7.98145	18.0354	8.23866	26.2365	8.09126	25.3197	83.973	25.0777	19.3638	16.1826	13.4868	30.2945	14.0219	18.1278	25.6885	10.5298	11.7833	12.8571	10.4135	15.0706
XLOC_028093	Xvis02_25031	9.57943	5.41365	14.7903	4.77893	8.53875	9.4639	4.06159	2.22744	5.3263	6.3221	2.1323	8.12586	1.2377	4.04777	3.89863	3.94359	1.1085	4.33243	3.2974	3.66466	2.31808	2.82453	2.97341	1.26583
XLOC_028092	Xvis02_25030	3.45676	4.16889	4.28894	2.22655	3.46784	3.74426	3.29122	4.42824	3.20558	3.62783	1.83977	0.581166	0.604002	1.23292	0.528021	0.699681	0.607507	0.318722	0.324802	1.36138	1.84177	1.45646	0.195932	0.737875
XLOC_028089	Xvis02_25027	0.959808	1.08507	0.392977	2.00397	1.31841	1.28675	1.10182	0.722282	1.55771	0.213059	0.268893	0.417709	0.257239	0.43834	0.599966	0.917788	1.76081	0.68627	14.5458	5.0947	3.50222	2.88038	2.05502	4.29458
XLOC_028087	Xvis02_25026	1.85454	2.80664	2.37024	0.739393	1.84428	1.72684	1.99196	6.23126	1.61655	2.09285	8.67699	3.77099	7.20362	8.50786	12.7309	8.89431	16.5291	14.0055	7.88941	8.34824	6.75745	3.76723	14.4669	12.4573
XLOC_028085	Xvis02_25023	3.60425	14.8328	10.8665	10.2039	15.7758	14.1589	9.68888	4.82197	11.1634	2.25124	1.27952	2.68929	0.619298	2.22683	2.34406	1.43383	2.42743	2.42408	1.77901	1.70542	1.94215	0.94583	4.32839	5.73706
